Nama Blok,Umur,Divisi,Varietas Tebu,Kawasan,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm)_extended,Tahun,Bulan Pengamatan,Curah hujan (mm)
129 TU 36,4,IV,R08,22.0,2022-09-07,7.08,2022-05-01,PC,9.57,2.9,0.0,5.0,5.0,0.0,0.0,0.0,98.0,2022,9,98
129 TU 36,5,IV,R08,22.0,2022-10-05,7.08,2022-05-01,PC,4.32,6.41,0.4,5.0,4.0,0.0,0.0,0.0,304.0,2022,10,304
129 TU 36,6,IV,R08,22.0,2022-11-06,7.08,2022-05-01,PC,4.82,4.67,0.0,5.0,5.0,0.0,0.0,170.0,201.0,2022,11,201
129 TU 36,7,IV,R08,22.0,2022-12-06,7.08,2022-05-01,PC,4.39,5.26,0.05,5.0,4.0,0.0,0.0,0.0,251.0,2022,12,251
129 TU 36,8,IV,R08,22.0,2023-01-15,7.08,2022-05-01,PC,1.19,4.99,3.85,5.0,4.0,0.0,200.0,0.0,233.0,2023,1,233
129 TU 36,9,IV,R08,22.0,2023-02-13,7.08,2022-05-01,PC,2.66,3.18,42.7,5.0,5.0,2.0,160.0,0.0,313.0,2023,2,313
129 TU 36,10,IV,R08,22.0,2023-03-15,7.08,2022-05-01,PC,2.17,4.26,27.55,5.0,0.0,5.0,90.0,0.0,402.0,2023,3,402
129 TU 36,11,IV,R08,22.0,2023-04-12,7.08,2022-05-01,PC,3.45,4.86,20.55,5.0,5.0,0.0,200.0,0.0,234.0,2023,4,234
191 TU 65,3,VI,R08,16.0,2022-08-10,8.58,2022-05-01,RC2,0.0,1.41,0.0,5.0,5.0,0.0,0.0,0.0,137.0,2022,8,137
191 TU 65,4,VI,R08,16.0,2022-09-08,8.58,2022-05-01,RC2,4.59,3.15,0.0,5.0,5.0,0.0,0.0,0.0,81.0,2022,9,81
191 TU 65,5,VI,R08,16.0,2022-10-10,8.58,2022-05-01,RC2,4.96,3.63,1.2,7.0,0.0,0.0,0.0,0.0,285.0,2022,10,285
191 TU 65,6,VI,R08,16.0,2022-11-09,8.58,2022-05-01,RC2,2.13,5.98,0.4,5.0,5.0,0.0,0.0,0.0,259.0,2022,11,259
191 TU 65,7,VI,R08,16.0,2022-12-10,8.58,2022-05-01,RC2,2.99,9.48,3.4,5.0,5.0,0.0,0.0,0.0,172.0,2022,12,172
191 TU 65,8,VI,R08,16.0,2023-01-15,8.58,2022-05-01,RC2,1.32,11.51,4.15,6.0,5.0,0.0,0.0,0.0,271.0,2023,1,271
191 TU 65,9,VI,R08,16.0,2023-02-11,8.58,2022-05-01,RC2,5.88,7.49,42.0,6.0,0.0,0.0,0.0,0.0,372.0,2023,2,372
191 TU 65,10,VI,R08,16.0,2023-03-14,8.58,2022-05-01,RC2,2.84,7.54,38.65,5.0,0.0,0.0,0.0,0.0,537.0,2023,3,537
191 TU 65,11,VI,R08,16.0,2023-03-01,8.58,2022-05-01,RC2,2.84,7.54,38.65,5.0,0.0,0.0,0.0,0.0,537.0,2023,3,537
187 TU 65,3,VI,R08,16.0,2022-08-10,9.42,2022-05-01,RC2,0.0,0.98,0.0,5.0,5.0,0.0,0.0,0.0,137.0,2022,8,137
187 TU 65,4,VI,R08,16.0,2022-09-08,9.42,2022-05-01,RC2,0.0,2.63,0.0,5.0,5.0,0.0,0.0,0.0,81.0,2022,9,81
187 TU 65,5,VI,R08,16.0,2022-10-10,9.42,2022-05-01,RC2,0.0,3.51,0.0,7.0,0.0,0.0,0.0,0.0,285.0,2022,10,285
187 TU 65,6,VI,R08,16.0,2022-11-09,9.42,2022-05-01,RC2,3.88,5.64,0.15,5.0,5.0,0.0,0.0,0.0,259.0,2022,11,259
187 TU 65,7,VI,R08,16.0,2022-12-10,9.42,2022-05-01,RC2,1.95,11.17,1.35,5.0,5.0,0.0,0.0,0.0,172.0,2022,12,172
187 TU 65,8,VI,R08,16.0,2023-01-15,9.42,2022-05-01,RC2,3.35,31.1,1.4,6.0,5.0,0.0,0.0,0.0,271.0,2023,1,271
187 TU 65,9,VI,R08,16.0,2023-02-11,9.42,2022-05-01,RC2,3.67,8.79,58.75,6.0,0.0,0.0,0.0,0.0,372.0,2023,2,372
187 TU 65,10,VI,R08,16.0,2023-03-14,9.42,2022-05-01,RC2,1.86,8.38,14.5,5.0,0.0,0.0,0.0,0.0,537.0,2023,3,537
187 TU 65,11,VI,R08,16.0,2023-03-01,9.42,2022-05-01,RC2,1.86,8.38,14.5,5.0,0.0,0.0,0.0,0.0,537.0,2023,3,537
